aalib 1.4rc5-18
portaudio 1:19.7.0-2
potrace 1.16-3
prison5 5.115.0-1
procps-ng 4.0.4-3
prrte 3.0.5-2
psmisc 23.7-1
pulseaudio 17.0-3
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-bluetooth 17.0-3
python 3.11.8-1
python-appdirs 1.4.4-10
python-attrs 23.2.0-1
python-beautifulsoup4 4.12.3-2
python-cachecontrol 1:0.14.0-3
python-cairo 1.26.0-2
python-certifi 2024.02.02-2
python-cffi 1.16.0-1
python-chardet 5.2.0-2
python-charset-normalizer 3.3.2-1
python-coverage 7.4.4-1
python-cryptography 42.0.5-1
python-cssselect 1.2.0-6
python-filelock 3.13.3-2
python-gobject 3.48.1-2
python-idna 3.6-1
python-lockfile 0.12.2-13
python-lxml 5.1.0-3
python-mako 1.3.2-1
python-markdown 3.6-2
python-markupsafe 2.1.5-1
python-msgpack 1.0.5-2
python-numpy 1.26.4-2
python-packaging 23.2-1
python-pillow 10.3.0-2
python-pip 24.0-1
python-ply 3.11-12
python-pycparser 2.22-1
python-pyserial 3.5-6
python-requests 2.31.0-1
python-six 1.16.0-9
python-soupsieve 2.5-3
python-tqdm 4.66.2-1
python-typing_extensions 4.10.0-1
python-urllib3 1.26.18-1
python-wheel 0.43.0-1
python-zstandard 0.22.0-2
qca-qt6 2.3.8-3
qgpgme-qt6 1.23.2-1
qrencode 4.1.1-2
qt5-base 5.15.13+kde+r145-1
qt5-declarative 5.15.13+kde+r30-1
qt5-multimedia 5.15.13+kde+r2-1
qt5-svg 5.15.13+kde+r6-1
qt5-tools 5.15.13+kde+r4-1
qt5-translations 5.15.13-1
qt5-wayland 5.15.13+kde+r60-1
qt5-x11extras 5.15.13-1
qt5ct 1.8-1
qt6-5compat 6.7.0-1
qt6-base 6.7.0-2
qt6-declarative 6.7.0-1
qt6-multimedia 6.7.0-1
qt6-multimedia-ffmpeg 6.7.0-1
qt6-positioning 6.7.0-1
qt6-shadertools 6.7.0-1
qt6-speech 6.7.0-1
qt6-svg 6.7.0-1
qt6-translations 6.7.0-1
qt6-wayland 6.7.0-1
qt6-webchannel 6.7.0-1
qt6-webengine 6.7.0-1
qtkeychain-qt6 0.14.2-1
ragel 6.10-3
raptor 2.0.16-4
rasqal 1:0.9.33-7
rav1e 0.7.1-1
readline 8.2.010-1
redland 1:1.0.17-9
rhash 1.4.4-1
ripgrep 14.1.0-1
rsync 3.3.0-1
rtkit 0.13-2
rubberband 3.3.0-1
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.5.4-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.7.1-1
ruby-logger 1.5.1-3
ruby-minitest 5.20.0-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.6-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.6-1
ruby-stringio 3.0.2-4
ruby-test-unit 3.6.1-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.12.1-1
rubygems 3.3.25-1
rustup 1.27.0-1
sassc 3.6.2-4
sbc 2.0-1
scdoc 1.11.3-1
scour 0.38.2-4
sdbus-cpp 1.5.0-3
sdl2 2.30.2-1
seatd 0.8.0-1
sed 4.9-3
semver 7.6.0-1
shaderc 2023.8-1
shadow 4.15.1-2
shared-mime-info 2.4-1
signon-kwallet-extension 24.02.2-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-2
signond 8.61-3
slang 2.3.3-2
slurp 1.5.0-1
snappy 1.1.10-1
sndio 1.9.0-1
solid 6.1.0-2
sonnet 6.1.0-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-11
spandsp 0.0.6-5
spdlog 1.13.0-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.6-1
sqlite 3.45.3-1
srt 1.5.3-1
startup-notification 0.12-8
steghide 0.5.1-11
stylua 0.20.0-2
sudo 1.9.15.p5-1
suitesparse 7.7.0-1
svt-av1 2.0.0-1
swww-git 0.4.0.r383.g453fa14-1
sxhkd 0.6.2-3
syntax-highlighting 6.1.0-1
systemd 255.4-2
systemd-libs 255.4-2
systemd-resolvconf 255.4-2
systemd-sysvcompat 255.4-2
tar 1.35-2
tdb 1.4.10-2
texinfo 7.1-2
texlive-basic 2024.2-1
texlive-bibtexextra 2024.2-1
texlive-bin 2024.2-1
texlive-binextra 2024.2-1
texlive-context 2024.2-1
texlive-fontsextra 2024.2-1
texlive-fontsrecommended 2024.2-1
texlive-fontutils 2024.2-1
texlive-formatsextra 2024.2-1
texlive-games 2024.2-1
texlive-humanities 2024.2-1
texlive-latex 2024.2-1
texlive-latexextra 2024.2-1
texlive-latexrecommended 2024.2-1
texlive-luatex 2024.2-1
texlive-mathscience 2024.2-1
texlive-metapost 2024.2-1
texlive-music 2024.2-1
texlive-pictures 2024.2-1
texlive-plaingeneric 2024.2-1
texlive-pstricks 2024.2-1
texlive-publishers 2024.2-1
texlive-xetex 2024.2-1
thin-provisioning-tools 1.0.12-1
thunar 4.18.10-1
thunar-volman 4.18.0-1
tmux 3.4-6
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6-2
tpm2-tss 4.0.1-1
tracker3 3.7.2-1
tracker3-miners 3.7.2-1
tree-sitter 0.22.5-1
tree-sitter-bash 0.21.0-2
tree-sitter-c 0.21.0-2
tree-sitter-lua 0.1.0-2
tree-sitter-markdown 0.2.3-2
tree-sitter-python 0.21.0-2
tree-sitter-query 0.2.1-2
tree-sitter-vimdoc 2.5.1-2
tslib 1.23-1
ttf-jetbrains-mono 2.304-1
ttf-liberation 2.1.5-1
ttf-roboto 2.138-4
tumbler 4.18.2-1
typescript 5.4.5-1
tzdata 2024a-1
udisks2 2.10.1-4
unibilium 2.1.1-2
unzip 6.0-20
upower 1.90.4-1
usbmuxd 1.1.1-3
util-linux 2.40-2
util-linux-libs 2.40-2
v4l-utils 1.26.1-1
vapoursynth R66-1
vid.stab 1.1.1-1
vim 9.1.0346-1
vim-runtime 9.1.0346-1
vivaldi 6.7.3329.17-1
vmaf 3.0.0-1
volume_key 0.3.12-8
vscodium-git 1.88.1.24104.r0.gac0f6f2-1
vte-common 0.76.1-1
vte3 0.76.1-1
vulkan-headers 1:1.3.279-1
vulkan-icd-loader 1.3.279-1
vulkan-validation-layers 1.3.275-1
wayland 1.22.0-1
wayland-protocols 1.35-1
webrtc-audio-processing-1 1.3-2
wezterm 20240203.110809.5046fc22-1
wezterm-shell-integration 20240203.110809.5046fc22-1
wezterm-terminfo 20240203.110809.5046fc22-1
wget 1.24.5-1
which 2.21-6
wireless_tools 30.pre9-3
wireplumber 0.5.2-1
wireshark-cli 4.2.4-2
wireshark-qt 4.2.4-2
wl-clipboard 1:2.2.1-1
wlroots 0.17.2-1
wmctrl 1.07-6
woff2 1.0.2-4
wofi 1.4.1-1
wpa_supplicant 2:2.10-8
wpaperd-git r220.ee109b0-1
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xbitmaps 1.1.3-1
xcb-proto 1.17.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xclip 0.13-4
xcur2png 0.7.1-8
xdg-desktop-portal 1.18.4-1
xdg-desktop-portal-hyprland-git 1.3.1.r17.g0fe84044-1
xdg-user-dirs 0.18-1
xdg-utils 1.2.1-1
xf86-video-vesa 2.6.0-2
xfce4-appfinder 4.18.1-1
xfce4-notifyd 0.9.4-1
xfce4-panel 4.18.6-1
xfce4-power-manager 4.18.3-1
xfce4-session 4.18.3-1
xfce4-settings 4.18.4-1
xfce4-terminal 1.1.3-1
xfconf 4.18.3-1
xfdesktop 4.18.1-1
xfwm4 4.18.0-2
xfwm4-themes 4.10.0-5
xkeyboard-config 2.41-1
xmlsec 1.3.4-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server-common 21.1.13-1
xorg-server-devel 21.1.13-1
xorg-server-xephyr 21.1.13-1
xorg-server-xnest 21.1.13-1
xorg-server-xvfb 21.1.13-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-twm 1.0.12-1
xorg-util-macros 1.20.1-1
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.3-1
xorg-xbacklight 1.2.3-3
xorg-xclock 1.1.1-1
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.2.0-1
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 23.2.6-1
xorg-xwd 1.0.9-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xorgproto 2024.1-2
xterm 390-1
xvidcore 1.3.7-2
xxhash 0.8.2-1
xz 5.6.1-3
yara 4.5.0-1
yarn 1.22.22-1
yaru-icon-theme 24.04.2-1
yaru-plus-git 4.1-7
youtube-music 3.3.6-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zlib 1:1.3.1-1
zsh 5.9-5
zstd 1.5.5-1
zxing-cpp 2.2.1-1
zziplib 0.13.74-1
