aalib 1.4rc5-18
fzf 0.48.1-1
garcon 4.18.2-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-5
gcc-libs 13.2.1-5
gd 2.3.3-7
gdb 14.2-1
gdb-common 14.2-1
gdbm 1.23-2
gdk-pixbuf2 2.42.11-2
gegl 0.4.48-2
geoclue 2.7.1-2
gettext 0.22.4-1
ghc-libs 9.2.8-1
ghostscript 10.03.0-2
giflib 5.2.2-1
gimp 2.10.36-6
git 2.44.0-1
git-delta 0.17.0-2
git-lfs 3.5.1-1
github-cli 2.48.0-2
gjs 2:1.80.2-2
glfw 3.4-2
glib-networking 1:2.80.0-1
glib2 2.80.0-2
glibc 2.39-2
glibmm 2.66.7-1
glslang 14.0.0-2
glu 9.0.3-1
gmp 6.3.0-2
gnome-bluetooth-3.0 46.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-9
gnupg 2.4.5-1
gnutls 3.8.5-1
go 2:1.22.2-1
gobject-introspection 1.80.1-1
gobject-introspection-runtime 1.80.1-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
graphene 1.10.8-1
graphicsmagick 1.3.43-1
graphite 1:1.3.14-3
graphviz 10.0.1-1
grep 3.11-1
grim 1.4.1-1
groff 1.23.0-5
grub 2:2.12-2
gsettings-desktop-schemas 46.0-1
gsfonts 20200910-3
gsl 2.7.1-3
gsm 1.0.22-1
gsound 1.0.3-3
gspell 1.12.2-2
gssdp 1.6.3-1
gst-plugins-bad-libs 1.24.1-2
gst-plugins-base 1.24.1-2
gst-plugins-base-libs 1.24.1-2
gstreamer 1.24.1-2
gtk-layer-shell 0.8.2-1
gtk-update-icon-cache 1:4.14.3-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtk4 1:4.14.3-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
gts 0.7.6.121130-2
guile 3.0.9-1
gulp 4.0.2-3
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
